p1 -1 0.5 -2
p2 1 0.5 -2
p3 1 0.5 2
p4 -1 0.5 2
p5 -1 1.5 -2
p6 1 1.5 -2
p7 1 2.5 2
p8 -1 2.5 2
p9 -1 1.5 -1
p10 1 1.5 -1
p11 1 2.5 0
p12 -1 2.5 0
p13 1 0 -1.5
p14 -1 0 -1.5
p15 1 0.5 -1
p16 -1 0.5 -1
p17 -1 1 -1.5
p18 1 0 1.5
p19 1 0 1.5
p20 -1 0 1.5
p21 -1 0.5 1
p22 1 1 1.5
p23 1 0.5 1
p24 -1 1 1.5
tri1 p8 p7 p12 696969
tri2 p12 p11 p7 696969
tri3 p11 p9 p12 ffffff
tri4 p11 p10 p9 ffffff
tri5 p10 p5 p9 696969
tri6 p10 p6 p5 696969
tri7 p6 p5 p1 696969
tri8 p6 p2 p1 696969
tri9 p8 p3 p7 696969
tri10 p3 p4 p8 696969
tri11 p2 p18 p6 696969
tri12 p10 p18 p6 696969
tri13 p18 p15 p2 000000
tri14 p2 p13 p15 000000
tri15 p16 p17 p1 000000
tri16 p16 p14 p1 000000
tri17 p4 p24 p21 000000
tri18 p4 p20 p21 000000
tri19 p23 p22 p3 000000
tri20 p23 p19 p3 000000
tri21 p7 p22 p3 696969
tri22 p22 p11 p7 696969
tri23 p23 p10 p11 696969
tri24 p23 p22 p11 696969
tri25 p18 p23 p15 696969
tri26 p18 p10 p23 696969
tri27 p17 p5 p1 696969
tri28 p9 p17 p5 696969
tri29 p16 p9 p17 696969
tri30 p12 p16 p9 696969
tri31 p8 p24 p4 696969
tri32 p24 p12 p8 696969
tri33 p21 p12 p24 696969
tri34 p21 p16 p12 696969
tri35 p1 p3 p2 696969
tri36 p1 p4 p3 696969
