p1 -3 0 0
p2 -1 0 -1
p3 2 0 0
p4 0 0 -3
p5 0 0 3
p6 -1 3 0
p7 1 2 -1
p8 4 0 -4
p9 0 2 2
p10 1 5 1
p11 -1 6 1
p12 0 6 -1
p13 2 8 2
p14 2 8 -2
p15 -2 8 2
p16 -2 8 -2
p17 5 12 8
p18 5 12 -5
p19 -7 12 5
p20 -5 12 -5
p21 2 16 2
p22 2 16 -2
p23 -2 16 2
p24 -3 16 -6
tri1 p1 p4 p5 663300
tri2 p4 p3 p8 663300
tri3 p1 p2 p4 663300
tri4 p2 p4 p3 663300
tri5 p1 p2 p6 663300
tri6 p2 p3 p7 663300
tri7 p6 p7 p2 663300
tri8 p3 p8 p7 663300
tri9 p12 p7 p6 663300
tri10 p4 p8 p7 663300
tri11 p5 p4 p9 663300
tri12 p9 p7 p4 663300
tri13 p9 p10 p7 663300
tri14 p10 p12 p7 663300
tri15 p5 p1 p9 663300
tri16 p6 p1 p9 663300
tri17 p6 p9 p11 663300
tri18 p11 p10 p9 663300
tri19 p11 p6 p12 663300
tri20 p14 p12 p10 663300
tri21 p14 p12 p16 663300
tri22 p14 p13 p10 663300
tri23 p13 p15 p10 663300
tri24 p15 p11 p10 663300
tri25 p11 p12 p15 663300
tri26 p15 p16 p12 663300
tri27 p18 p14 p13 3f9e22
tri28 p17 p18 p13 3f9e22
tri29 p13 p19 p15 3f9e22
tri30 p17 p13 p19 3f9e22
tri31 p15 p20 p16 3f9e22
tri32 p19 p15 p20 3f9e22
tri33 p16 p18 p14 3f9e22
tri34 p16 p20 p18 3f9e22
tri35 p17 p21 p19 3f9e22
tri36 p23 p21 p19 3f9e22
tri37 p23 p20 p19 3f9e22
tri38 p23 p24 p20 3f9e22
tri39 p24 p18 p20 3f9e22
tri40 p24 p22 p18 3f9e22
tri41 p22 p17 p18 3f9e22
tri42 p22 p21 p17 3f9e22
tri43 p24 p23 p22 3f9e22
tri44 p23 p21 p22 3f9e22
