p1 20 0 0
p2 10.17 30
p3 18.14 0 8.43
p4 11.26 30 0.34
p5 10.72 0 16.88
p6 0 0 20
p7 -10.23 0 17.19
p8 -17.07 0 10.42
p9 -20 0 0
p10 -18.12 0 -8.47
p11 -10.72 0 -16.88
p12 0 0 -20
p13 11.51 0 -16.36
p14 18.08 0 -8.54
p15 6.11 30 11.06
p16 0.21 30 12.22
p17 -6.98 30 12.09
p18 -12.34 30 7.22
p19 -15 30 0
p20 -12.4 30 -5.3
p21 -7.07 30 -10.21
p22 0 30 -10
p23 6.02 30 -8.38
p24 10.26 30 -4.18
p25 0 60 0
tri1 p14 p1 p24 3EE90A
tri2 p24 p4 p1 3EE90A
tri3 p3 p4 p1 3EE90A
tri4 p3 p2 p4 3EE90A
tri5 p3 p5 p2 3EE90A
tri6 p2 p15 p5 3EE90A
tri7 p15 p6 p5 3EE90A
tri8 p15 p16 p6 3EE90A
tri9 p16 p7 p6 3EE90A
tri10 p16 p17 p7 3EE90A
tri11 p7 p8 p17 3EE90A
tri12 p17 p18 p8 3EE90A
tri13 p8 p9 p18 3EE90A
tri14 p18 p19 p9 3EE90A
tri15 p19 p10 p9 3EE90A
tri16 p19 p20 p10 3EE90A
tri17 p20 p21 p11 3EE90A
tri18 p20 p10 p11 3EE90A
tri19 p21 p12 p11 3EE90A
tri20 p21 p22 p12 3EE90A
tri21 p22 p13 p12 3EE90A
tri22 p22 p23 p13 3EE90A
tri23 p14 p13 p23 3EE90A
tri24 p14 p23 p24 3EE90A
tri25 p25 p24 p4 3EE90A
tri26 p2 p25 p4 3EE90A
tri27 p23 p24 p25 3EE90A
tri28 p22 p25 p23 3EE90A
tri29 p15 p2 p25 3EE90A
tri30 p25 p16 p15 3EE90A
tri31 p17 p16 p25 3EE90A
tri32 p18 p17 p25 3EE90A
tri33 p19 p25 p18 3EE90A
tri34 p20 p25 p19 3EE90A
tri35 p21 p25 p20 3EE90A
tri36 p21 p22 p25 3EE90A
