p1 22.4 0 0
p2 20.26 0 9.24
p3 11.8 0 18.8
p4 0 0 22.24
p5 -11.79 0 19.66
p6 -19.26 0 12.06
p7 -22.82 0 0
p8 -20 0 -10
p9 -12.22 0 -19.31
p10 0 0 -22.25
p11 12.72 0 -18.33
p12 20 0 -10
p13 31.36 10.3 0
p14 28.36 9.2 12.94
p15 16.52 20 26.32
p16 0 15.9 31.14
p17 -16.51 10 27.52
p18 -26.96 10.8 16.88
p19 -31.95 5.2 0
p20 -28 12 -14
p21 -17.11 19 -27.03
p22 17.81 12 -25.66
p23 0 10 -31.15
p24 28 8 -14
p25 3.97 30 47.3
p26 48.06 42 19.47
p27 33 30 -29.75
p28 4.04 25 -46.23
p29 -44.51 35 -28.41
p30 -46.29 42 29.72
p31 0 0 80
p32 54.34 0 67.37
p33 85.32 0 0
p34 74.83 0 -36.06
p35 51.34 0 -60.55
p36 -3.62 0 -78.03
p37 -44.59 0 -66.04
p38 -76.57 0 -34.06
p39 -83.07 0 0
p40 -75.07 0 47.38
p41 -46.09 0 74.36
tri1 p1 p13 p2 44FF00
tri2 p14 p13 p2 44FF00
tri3 p14 p3 p2 44FF00
tri4 p14 p15 p3 44FF00
tri5 p15 p4 p3 44FF00
tri6 p15 p16 p4 44FF00
tri7 p16 p5 p4 44FF00
tri8 p16 p17 p5 44FF00
tri9 p17 p6 p5 44FF00
tri10 p17 p18 p6 44FF00
tri11 p18 p7 p6 44FF00
tri12 p18 p19 p7 44FF00
tri13 p19 p7 p8 44FF00
tri14 p19 p20 p8 44FF00
tri15 p20 p9 p8 44FF00
tri16 p20 p21 p9 44FF00
tri17 p21 p10 p9 44FF00
tri18 p10 p23 p21 44FF00
tri19 p23 p11 p10 44FF00
tri20 p23 p22 p11 44FF00
tri21 p12 p22 p11 44FF00
tri22 p12 p24 p22 44FF00
tri23 p1 p24 p12 44FF00
tri24 p1 p13 p24 44FF00
tri25 p25 p16 p15 44FF00
tri26 p25 p26 p15 44FF00
tri27 p15 p14 p26 44FF00
tri28 p26 p13 p14 44FF00
tri29 p26 p24 p13 44FF00
tri30 p24 p27 p26 44FF00
tri31 p22 p27 p24 44FF00
tri32 p22 p28 p23 44FF00
tri33 p28 p27 p22 44FF00
tri34 p29 p28 p21 44FF00
tri35 p30 p29 p19 44FF00
tri36 p30 p25 p17 44FF00
tri37 p21 p23 p28 44FF00
tri38 p29 p20 p21 44FF00
tri39 p19 p29 p20 44FF00
tri40 p30 p18 p19 44FF00
tri41 p30 p18 p17 44FF00
tri42 p17 p16 p25 44FF00
tri43 p31 p25 p32 44FF00
tri44 p25 p26 p32 44FF00
tri45 p26 p33 p32 44FF00
tri46 p26 p27 p33 44FF00
tri47 p27 p34 p33 44FF00
tri48 p27 p35 p34 44FF00
tri49 p27 p28 p35 44FF00
tri50 p28 p36 p35 44FF00
tri51 p28 p37 p36 44FF00
tri52 p37 p29 p28 44FF00
tri53 p37 p38 p29 44FF00
tri54 p29 p39 p38 44FF00
tri55 p29 p30 p39 44FF00
tri56 p39 p40 p30 44FF00
tri57 p40 p41 p30 44FF00
tri58 p41 p25 p30 44FF00
tri59 p41 p31 p25 44FF00
